report_year,report_week,refnr,country,country_code,danger_short,measures,reactingcountry,descript_category,countryoforigin,descript_product,descript_type,descript_descr,descript_brand
2012,23,A12/0833/12,Bulgaria,BG,Choking ,Sales ban ordered by the authorities.   ,,Food-imitating products,China," Towels with decoration ""Towels""", 11831 and 11829," Towels which have been folded and placed inside containers resembling drinks packed in a plastic goblet with a straw, decorated with food imitating products (sweets, etc) with labels containing information in Bulgarian.",TESSERA
2012,23,A12/0834/12,Finland,FI,Chemical ,Import rejected by the customs authorities. ,,Jewellery,China, Earrings and necklace, 1) Item number 72500 2) Item number 72503," 1) A pair of metal earrings with a black diamond-shaped metallic part, which is available in 3 colours (silver, pink and black). Each pair of earrings is attached to a plastic tag with the text “nickelfree” and is packed in a plastic bag. 2) A necklace with a silver diamond-shaped metallic part, which is available in 3 colours (silver, pink and black). Each necklace is attached to a plastic tag with the text “nickelfree” and is packed in a plastic bag.",Niia
2012,23,A12/0835/12,Hungary,HU,Strangulation ,Withdrawal from the market and recall from consumers ordered by the authorities.,,"Clothing, textiles and fashion items",China, Children's sweatshirt," Model: LP-020, Barcode: 1 370000011023"," Children’s sweatshirt with hood and zip-fastener. The hood has an unfixed drawstring with knots on the ends. The product is decorated with printed patterns. The product is available in white, grey and burgundy colours. ",SunSea
2012,23,A12/0836/12,Bulgaria,BG,Choking ,Sales ban ordered by the authorities.   ,,Food-imitating products,China," Towels with decoration ""Towels"""," 11834, 11792 and 11833."," Towels imitating food, folded in the form of a cake, packed in cellophane packaging or plastic boxes, with inscriptions "" Sweet love"", decorated with food imitating products (strawberries and cherries), with labels containing information in Bulgarian. ",Sweet love
2012,23,A12/0837/12,Hungary,HU,Strangulation ,Withdrawal from the market and recall from consumers ordered by the authorities.,,"Clothing, textiles and fashion items",China, Children's sweatshirt, Model: G-33," Children’s sweatshirt with hood, zip-fastener and kangaroo pocket. The hood has an unfixed drawstring with free ends. The product is decorated with two butterflies, two hearts and inscriptions: ""Love Girl"" and ""Beautiful"". Size: 8, 10, 12, 14, 16.",Napoleone
2012,23,A12/0838/12,Hungary,HU,Injuries ,Withdrawal from the market and recall from consumers ordered by the authorities.,,"Clothing, textiles and fashion items",China, Girls’ trousers, Model: K-1506, The left-hand side of the trousers is decorated with rhinestones. The waist part of the trousers includes an unfixed drawstring. The product is available in red and purple colours. Size: 134-152.,KE YI QI
2012,23,A12/0839/12,Hungary,HU,Injuries ,Withdrawal from the market and recall from consumers ordered by the authorities.,,"Clothing, textiles and fashion items",China, Girls' trousers, CH-1162," Girls' leisure trousers decorated with flowers. The product is available in purple, burgundy and pink colours. The waist part of the trousers has an unfixed drawstring with knots on the ends. Size: 140-158.",Jintao
2012,23,A12/0840/12,Finland,FI,Chemical ,Import rejected by the customs authorities. ,,Jewellery,China, Ring," In the invoice and in the label: 1) Item number SPJ32082, “Round ring” 2) Item number SPJ32071, “Party ring” 3) Item number SPJ32073, “Turquoise ring” 4) Item number SPJ32080, “Oriental ring”"," 1) A golden/black ring with a black plastic jewel and diamond circle, attached to a black plastic tag,",Spirit Items
2012,23,A12/0841/12,Hungary,HU,Strangulation ,Withdrawal from the market and recall from consumers ordered by the authorities.,,"Clothing, textiles and fashion items",China, Children's Jacket, YF997," Children's jacket with hood. The hood has an unfixed drawstring with knots and toggles on the ends. The product is available in yellow, orange, white, pink and red colours. On the front, on an embroidered label, there are inscriptions: „Aoles Club&Sports TOPCLUB Sports Staff Collection Super Team Spirits”. Size: 140-170.",Aoles
2012,23,A12/0842/12,Denmark,DK,Burns ,Withdrawal from the market ordered by the authorities.,,Pyrotechnic articles,China," Fireworks ""Panther Power battery 49 shots""", Model: Panther Power battery 49 shots. Danish registration number: SIK-0053211280, Battery of fireworks in a black box with orange text and a panther. It is made with an exposed instantaneous fuse.,AFAC (Aalborg Fyrværkerifabrik ApS)
2012,23,A12/0843/12,Romania,RO,Electric shock ,Withdrawal from the market ordered by the authorities.,,Electrical appliances and equipment,China," Table lamp ""Lotus lamp""", Unknown, Table lamp in the shape of a pink flower with green leaves. The lamp is packaged in a black cardboard box.,Lotus
2012,23,A12/0844/12,Portugal,PT,Damage to sight ,Withdrawal from the market ordered by the authorities.,,Laser pointers,China," Laser pointer ""Professional Presenter""", R800," Brilliant green laser, with intuitive controls, for use on an LCD display. The product emits a collimated laser beam with small diameter (of the order of a few millimetres).",Logitech
2012,23,A12/0845/12,Portugal,PT,Damage to sight ,Withdrawal from the market ordered by the authorities.,,Laser pointers,China," Laser pointer ""5 in 1 & Laser Pen""",1913, Pen-shaped laser pointer with an additional LED light and 3 batteries (SR41 - 1.55 V). The product emits a collimated laser beam with small diameter (of the order of a few millimeters) and the violet LED(s) can be activated separately and simultaneously.,Unknown
